Title,Gender,Ethnicity,Annual Salary,Years of Employment
Administrative Specialist,F,White,51542.4,6
Administrative Specialist,M,Black or African American,48235.2,11
Administrative Specialist,F,Hispanic or Latino,51542.4,14
Administrative Specialist,F,Hispanic or Latino,48235.2,3
"MuniProg, Paraprofessional",F,White,50668.8,2
"MuniProg, Paraprofessional",F,White,40310.4,2
"MuniProg, Paraprofessional",F,White,44324.8,1
Administrative Specialist,F,Hispanic or Latino,51542.4,19
Administrative Specialist,F,White,50294.4,2
Administrative Specialist,F,White,51542.4,10
Administrative Specialist,F,Hispanic or Latino,48235.2,11
Administrative Specialist,F,Black or African American,51542.4,21
"MuniProg, Paraprofessional",M,Hispanic or Latino,52000.0,2
"MuniProg, Paraprofessional",M,Asian,44720.0,2
Administrative Specialist,F,White,51542.4,13
Administrative Specialist,F,Hispanic or Latino,51542.4,18
Administrative Specialist,F,White,50294.4,2
Administrative Specialist,F,Black or African American,51542.4,6
Administrative Specialist,F,White,47049.6,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,54080.0,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,52000.0,2
Administrative Specialist,F,Hispanic or Latino,51542.4,14
"MuniProg, Paraprofessional",M,Hispanic or Latino,52000.0,3
"MuniProg, Paraprofessional",M,White,52000.0,3
Administrative Specialist,F,Black or African American,48235.2,12
"MuniProg, Paraprofessional",M,Black or African American,52000.0,3
"MuniProg, Paraprofessional",M,Black or African American,52000.0,2
Administrative Specialist,F,Hispanic or Latino,51542.4,25
Administrative Specialist,F,Hispanic or Latino,53788.8,34
Administrative Specialist,F,White,51542.4,5
Administrative Specialist,F,Hispanic or Latino,48235.2,12
Administrative Specialist,F,Black or African American,51563.2,4
Administrative Specialist,F,Black or African American,48235.2,18
Administrative Specialist,M,Black or African American,45510.4,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,52000.0,2
Administrative Specialist,F,Hispanic or Latino,46425.6,2
Administrative Specialist,F,White,51542.4,13
"MuniProg, Paraprofessional",M,White,53060.8,1
Administrative Specialist,M,White,51542.4,26
Administrative Specialist,F,Hispanic or Latino,51542.4,3
Administrative Specialist,F,Black or African American,42764.8,4
Administrative Specialist,F,Hispanic or Latino,51542.4,13
"MuniProg, Paraprofessional",F,White,58864.0,4
"MuniProg, Paraprofessional",M,Hispanic or Latino,77313.6,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,52000.0,2
Administrative Specialist,F,Hispanic or Latino,51542.4,9
Administrative Specialist,F,Black or African American,51542.4,3
Administrative Specialist,F,Hispanic or Latino,60902.4,26
Administrative Specialist,F,Hispanic or Latino,51542.4,12
Administrative Specialist,F,Hispanic or Latino,51542.4,25
Administrative Specialist,F,Hispanic or Latino,43409.6,3
"MuniProg, Paraprofessional",F,White,36254.4,2
"MuniProg, Paraprofessional",M,Black or African American,44324.8,2
"MuniProg, Paraprofessional",M,Asian,52000.0,2
"MuniProg, Paraprofessional",M,Black or African American,52000.0,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,52000.0,2
Administrative Specialist,F,Black or African American,48235.2,18
Administrative Specialist,F,White,51542.4,9
Administrative Specialist,F,White,47840.0,1
Administrative Specialist,F,White,51542.4,17
Administrative Specialist,F,White,45510.4,2
Administrative Specialist,F,White,51542.4,11
Administrative Specialist,M,White,42328.0,1
"MuniProg, Paraprofessional",M,Hispanic or Latino,31200.0,4
"MuniProg, Paraprofessional",F,White,62400.0,3
Administrative Specialist,F,Hispanic or Latino,45510.4,2
"MuniProg, Paraprofessional",M,White,54080.0,2
"MuniProg, Paraprofessional",M,Black or African American,52000.0,3
Administrative Specialist,M,Hispanic or Latino,51542.4,9
Administrative Specialist,F,Hispanic or Latino,41579.2,5
Administrative Specialist,M,Hispanic or Latino,46342.4,2
Administrative Specialist,F,Hispanic or Latino,51542.4,18
Administrative Specialist,F,White,51542.4,7
Administrative Specialist,F,Hispanic or Latino,51542.4,6
"MuniProg, Paraprofessional",M,White,60777.6,1
Administrative Specialist,F,Hispanic or Latino,48339.2,6
Administrative Specialist,M,Hispanic or Latino,46820.8,5
Administrative Specialist,F,White,51542.4,7
"MuniProg, Paraprofessional",M,White,71739.2,5
Administrative Specialist,F,Hispanic or Latino,40144.0,3
Administrative Specialist,F,Black or African American,51542.4,9
Administrative Specialist,F,Hispanic or Latino,50939.2,12
"MuniProg, Paraprofessional",F,Asian,37440.0,3
Administrative Specialist,F,White,51542.4,5
Administrative Specialist,F,White,43742.4,3
Administrative Specialist,F,Hispanic or Latino,51542.4,5
Administrative Specialist,F,Hispanic or Latino,50294.4,2
Administrative Specialist,F,Hispanic or Latino,48713.6,2
"MuniProg, Paraprofessional",F,White,35588.8,2
Administrative Specialist,F,White,51542.4,5
Administrative Specialist,F,Hispanic or Latino,44907.2,4
Administrative Specialist,F,Hispanic or Latino,51542.4,12
Administrative Specialist,F,Black or African American,54496.0,28
Administrative Specialist,F,White,42328.0,2
Administrative Specialist,F,Hispanic or Latino,49940.8,2
Administrative Specialist,F,Hispanic or Latino,48089.6,2
Administrative Specialist,F,White,51542.4,26
Administrative Specialist,F,Hispanic or Latino,49940.8,1
Administrative Specialist,F,White,48235.2,7
Administrative Specialist,F,Hispanic or Latino,48235.2,7
Administrative Specialist,F,White,44449.6,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,47070.4,1
"MuniProg, Paraprofessional",F,Black or African American,37440.0,2
Administrative Specialist,F,Black or African American,51542.4,9
"MuniProg, Paraprofessional",M,White,47486.4,1
"MuniProg, Paraprofessional",M,White,39520.0,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,43472.0,2
Administrative Specialist,F,White,49961.6,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,41600.0,1
"MuniProg, Paraprofessional",M,Hispanic or Latino,41600.0,2
"MuniProg, Paraprofessional",M,White,43472.0,2
"MuniProg, Paraprofessional",F,White,43492.8,2
Administrative Specialist,F,Hispanic or Latino,51542.4,12
"MuniProg, Paraprofessional",M,White,39873.6,2
Administrative Specialist,F,Hispanic or Latino,43388.8,6
Administrative Specialist,F,Hispanic or Latino,45988.8,12
"MuniProg, Paraprofessional",F,White,39520.0,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,42328.0,5
Administrative Specialist,F,White,48235.2,13
"MuniProg, Paraprofessional",M,White,39520.0,5
"MuniProg, Paraprofessional",M,White,44720.0,7
"MuniProg, Paraprofessional",F,White,42265.6,3
"MuniProg, Paraprofessional",F,White,44720.0,11
"MuniProg, Paraprofessional",F,White,58240.0,9
Administrative Specialist,F,White,51542.4,20
"MuniProg, Paraprofessional",M,White,41600.0,3
Administrative Specialist,F,Hispanic or Latino,48235.2,9
"MuniProg, Paraprofessional",F,Hispanic or Latino,41600.0,1
"MuniProg, Paraprofessional",M,White,39520.0,4
"MuniProg, Paraprofessional",M,Asian,55910.4,4
Administrative Specialist,F,Hispanic or Latino,46654.4,11
"MuniProg, Paraprofessional",F,White,65062.4,2
"MuniProg, Paraprofessional",M,White,31200.0,1
"MuniProg, Paraprofessional",F,White,47008.0,2
"MuniProg, Paraprofessional",F,White,31200.0,1
"MuniProg, Paraprofessional",F,White,31200.0,1
